area_project,line,line_sub,usecase,type,digital_lever
Warehouse,Warehouse,Process,Forklift track with linde connect and linde safety,Local Idea,Advanced Analytics
Warehouse,Warehouse,Process,Forklifts with lithium battery,Local Idea,Other / Analogue
Dry Part (Auto),Filling Dry Part Manufacturing 01,dilo,Fully calculate OEE by MII,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Filling Liquid Part Manufacturing 01,OEE top 3,Get the check weigher data from MII,Local Idea,Digital Ways of Working
Quality Lab,scheduling,scheduling,Global LIMS use case,Local Idea,Digital Ways of Working
Others / Multiple Areas,Management System,Department,Global OEE Solution for Department Meetings,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,Management System,Handover,Global OEE Solution for Shift handover Meetings,Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,BB Room 10KL tank1,shadowing_4,High Flow Rate Inline Gear Pumps for Material Transfer,Local Idea,Advanced Production Method and Material
Maintenance,maintenance technician,dilo,Holo-lens,Local Idea,Digital Ways of Working
Large Liquid MFG,BB Room 10KL tank1,shadowing_0,Homogenizer Safety Interlocking,Local Idea,Other / Analogue
Liquid Filling (Auto),Fresca Liquid Filling,OEE top 3,Ht adaptation for fresca/vfc formulations,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,Management System,Handover,Improve daily operation meeting,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Serac 1,shadowing_0,Improve draining process,Local Idea,Other / Analogue
Liquid Filling (Auto),Filling Liquid Part Manufacturing 01,OEE top 3,Improve filling accuracy in LF01,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Liquid Processing,shadowing_0,Improve line connection from hose to piping system,Local Idea,Advanced Production Method and Material
Quality Lab,Quality Lab,Customer Complaint,"Improve packging quality issue (incl, inner seal, cap tourque)",Local Idea,Advanced Production Method and Material
Quality Lab,Warehouse,Process,Improve quality of product labels,Local Idea,Other / Analogue
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 3,Improve the filling speed for coke products,Local Idea,Advanced Analytics
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_3,Improve the reliability of the sealer so that it will not produce bad quality of sealing and trigger rework and reset in sealing process,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Improve work flow and layout of lab,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Root Cause Process,Improvement in CAPA Management (Power Automate),Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse material flow 1,material flow 1,Improving ASRS Infeed Speed,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_0,Improving ASRS Traffic Flow for Pick and Pack Station,Local Idea,Advanced Analytics
Others / Multiple Areas,Management System,Department,Include OEE in DPM tool - Large Liquid manufacturing,Lighthouse,Digital Management Tools & Connectivity
Dry Part (Auto),Filling Dry Part Manufacturing 01,OEE top 3,Increase conveyor flexibility to the carton size so that auto Auger can be used,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Tank #5,shadowing_0,Increase pack size of liquid part ingredients,Local Idea,Advanced Production Method and Material
Maintenance,Tank #5,shadowing_1,Increase tube heat exchanger capacity in new mix room,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Color,dilo,Ingredient control & visualization from hoppers,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,Dry Mix SKU Filling line,OEE top 1,Ingredient Pack Size Standardization,Local Idea,Advanced Production Method and Material
Liquid Kitchen,Liquid Flexi Filling,shadowing_0,Inline chlorine meter,Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,Serac 20L Filler,shadowing_0,Inline chlorine meter,Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Process,In-line densimeters integrated to local network,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Inline density check on filling lines,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),quality lab_analyst,shadowing_0,Inline density meter,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 1,In-line density test and calibration,Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,BB Batching,shadowing_1,Inline particle size analyzer,Local Idea,Digital Ways of Working
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 1,In-line particle size check,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Sprite Filling Room,OEE top 3,Inner and outer diameter increase for Filler,Local Idea,Other / Analogue
Quality Lab,quality ehs_specialist,dilo,Inspect emergency shower by mobile app.,Local Idea,Digital Ways of Working
Warehouse,warehouse technician,shadowing_4,"Install interlock sensor, Machine to be automatically off if people passing",Local Idea,Advanced Production Method and Material
Quality Lab,quality lab_technician,shadowing_0,Install MS office to lab computer,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Install sampling tool cabinet near incoming area,Local Idea,Other / Analogue
Liquid Filling (Auto),Filling Liquid Part Manufacturing 01,OEE top 3,Install the kicker if the weight is OOS,Local Idea,Advanced Production Method and Material
Maintenance,maintenance manager,dilo,Installation of heat pumps Load onto electricity,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Root Cause Process,"Integrated Data Analytics and Process Traceability from MII, DSF, Sample Manager for RCA",Local Idea,Advanced Analytics
Maintenance,maintenance technician,dilo,"Integrated monitoring system adding on CIP, Compressed air and HVAC",Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Root Cause Process,Integrated platform for RCA and CAPA,Local Idea,Digital Management Tools & Connectivity
Warehouse,Warehouse,Process,Integrated WH Dashboard management system CCI-CCEP,Local Idea,Digital Ways of Working
Maintenance,maintenance manager,dilo,Integrating Control Systems,Local Idea,Digital Management Tools & Connectivity
Warehouse,Warehouse,Process,Internal transport track management,Local Idea,Digital Ways of Working
Others / Multiple Areas,IT/OT,IT/OT_System,Introduction of EAM systems,Local Idea,Digital Management Tools & Connectivity
Dry Part (Manual),Manual Station,shadowing_3,Inventory tracking for ingredients (color),Local Idea,Digital Ways of Working
Dry Part (Manual),Manual Station,shadowing_1,Inventory tracking for ingredients (manual filling),Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Kit size allocation for core product,Local Idea,Other / Analogue
Liquid Filling (Auto),Serac 8HD,OEE top 3,KO Filling Line Speed Not Balanced,Local Idea,Advanced Production Method and Material
Quality Lab,Quality Lab,Process,Lab consolidation,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Lab data analysis dashboard,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Lab environment control,Local Idea,Advanced Production Method and Material
Quality Lab,Quality Lab,Process,Lab Equipment's Calibration Tracking Tool,Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Process,Lab mobile devices,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Lab samples labels creation,Local Idea,Digital Ways of Working
Dry Part (Auto),Dry Mix SKU Filling line,shadowing_0,Label Auto Print and Apply System for Cartons,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Mix SKU Filling line,shadowing_0,Label Auto Print and Apply System for PE Bags,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Dry Manual Line 2,shadowing_0,Labeller for small bag,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_0,Labels for spare parts creation,Local Idea,Digital Ways of Working
Liquid Filling (Auto),Bases de bebidas,dilo,LB15 - Automatic bottle placing and capping,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac,OEE top 3,LBMS - Automatic bottle placing and capping,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_2,LGV for Freezer Picking / Replenishment process,Local Idea,Advanced Production Method and Material
Quality Lab,Quality Lab,Process,Lims,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Lims,Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality lab_technician,shadowing_0,Lims lab management phase 1,Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality lab_analyst,shadowing_0,Lims system,Local Idea,Digital Management Tools & Connectivity
Maintenance,Filling Liquid Part Manufacturing 02,OEE top 3,Liquid Kitchen Reliability Task Force (Maintenance),Local Idea,Advanced Analytics
Large Liquid MFG,Qoo,shadowing_0,Liquid mixing supersack auto-transportation,Local Idea,Advanced Production Method and Material
Maintenance,Maintenance,Breakdown Occurence,Liquid part mto line automation,Local Idea,Advanced Production Method and Material
Maintenance,Filling Liquid Part Manufacturing 01,OEE top 1,Liquid Part Reliability Task Force (Maintenance),Local Idea,Advanced Analytics
Maintenance,Maintenance,Process,Live solving,Local Idea,Digital Ways of Working
Large Liquid MFG,Sprite Mixing Room,OEE top 3,Load cell display adjustment,Local Idea,Other / Analogue
Liquid Filling (Auto),Beverage Base Liquid Filling,OEE top 2,Lp second center upgrade,Local Idea,Advanced Production Method and Material
Maintenance,maintenance PM technician,shadowing_0,Maintenance cost reduction through advanced analytic,Local Idea,Advanced Analytics
Maintenance,Maintenance,Process,Maintenance performance dashboard,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,Maintenance Regime for Automation System,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,Maintenance Request Portal,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,Maintenance ticket pooling enhancement,Local Idea,Other / Analogue
Liquid Filling (Auto),Filling Liquid Part Manufacturing 01,OEE top 3,Make the scale at the same level with floor,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,maintenance technician,dilo,Mandatory training videos on demand,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Manual Defacing of ingredients,Local Idea,Other / Analogue
Dry Part (Manual),Dry Manual Line 2,shadowing_0,Manual filler design modification,Local Idea,Other / Analogue
Warehouse,warehouse technician,shadowing_0,Material receiving schedule improvement,Local Idea,Digital Ways of Working
Large Liquid MFG,BB Room 10KL tank1,OEE top 1,Material stacker for placing IBC on auto tilting and transfer stand,Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Room 10KL tank1,shadowing_4,MDSE 7X Pack Size Change,Local Idea,Other / Analogue
Others / Multiple Areas,maintenance technician,dilo,Meeting effectiveness,Local Idea,Other / Analogue
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Mezzanine expansion,Local Idea,Other / Analogue
Others / Multiple Areas,IT/OT,IT/OT_System,Migrating BizComm to MS Team Calling Solution,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,IT/OT,IT/OT_Process,Mii S4/H shop-floor integration,Local Idea,Digital Ways of Working
Maintenance,Maintenance,Breakdown Occurence,Mileage-Based Optimisation of PM Activities,Local Idea,Advanced Analytics
Warehouse,warehouse technician,shadowing_0,Mini asrs for staging area to improve retouch of picked pallets,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,scheduling,scheduling,Missing ing & part shortages on-line report,Local Idea,Advanced Analytics
Dry Part (Auto),Maintenance,Breakdown Occurence,Mobile label and masking machine to reduce the down time due to labeling and masking issue,Local Idea,Other / Analogue
Liquid Kitchen,Flexi Batching,shadowing_0,Mobile Tank Tracking System,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Breakdown Occurence,Modification of Cap transfer conveyor to reduce downtime,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Dry Manual Line 2,shadowing_0,Modified sealer which is can be sealed 2 small bags,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,scheduling,scheduling,Monthly meeting/Training/PM calendar development,Local Idea,Other / Analogue
Maintenance,Maintenance,Process,"Mtbf, mttr dashboard/report automated",Local Idea,Advanced Analytics
Liquid Filling (Auto),Sprite Filling Room,shadowing_0,Multi way panel,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Dry Manual Line 2,shadowing_0,Muscle suit- Ingredient dumping assistant equipment,Local Idea,Advanced Production Method and Material
Large Liquid MFG,MUV,MUV,Muv Reduction,Local Idea,Other / Analogue
Warehouse,warehouse technician,shadowing_3,Negotiate the MoQ to be full pallet,Local Idea,Digital Ways of Working
Large Liquid MFG,Qoo,shadowing_0,"New 20,000l mixing tank",Local Idea,Other / Analogue
Liquid Kitchen,Liquid MTO,OEE top 1,New label printer and applicator for liquid mto line,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_1,New rfic equipment could reduce sampling testing time,Local Idea,Advanced Production Method and Material
Maintenance,VFFS,shadowing_1,New vffs machine for wip production,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Automate Filling Area Grande,OEE top 2,Not stopping the line big area,Local Idea,Other / Analogue
Dry Part (Auto),Piggyback,OEE top 3,OEE Dashboard (Dry Part Auto),Local Idea,Digital Management Tools & Connectivity
Dry Part (Manual),Manual Kitting,OEE top 2,OEE Dashboard (Dry Part Manual),Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),KO Batching (BIG),process_variability,OEE Dashboard (Large Liquid MFG),Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Serac 8HD,shadowing_0,OEE Dashboard (Liquid Filling Auto),Local Idea,Digital Management Tools & Connectivity
Liquid Kitchen,Flexi Filling,shadowing_0,OEE Dashboard (Liquid Kitchen),Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,Management System,Handover,OEE Dashboard: Basic Troubleshooting,Local Idea,Digital Ways of Working
Liquid Filling (Auto),Serac 8h,OEE top 1,Oee improvement projects (breaks and meetings reorganization),Local Idea,Advanced Analytics
Dry Part (Auto),Combi L2,OEE top 2,Oee improvement projects (breaks and meetings reorganization),Local Idea,Advanced Analytics
Dry Part (Auto),Combi L2,OEE top 3,Oee improvement projects (pcs and dynamic schedulling integration),Local Idea,Advanced Analytics
Others / Multiple Areas,scheduling,scheduling,Oee improvement projects (pcs and dynamic schedulling integration),Local Idea,Advanced Analytics
Liquid Filling (Auto),Serac 8h,OEE top 3,Oee improvement projects (pcs and dynamic schedulling integration),Local Idea,Advanced Analytics
Others / Multiple Areas,scheduling,scheduling,One-window integration of supplier/forwarder/CCA,Local Idea,Digital Ways of Working
Quality Lab,Please Select,dilo,Online Safety Work Permit Application,Local Idea,Digital Ways of Working
Dry Part (Auto),DRY SEMI-AUTO ROOM (K-Tron),shadowing_2,Online sealer,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Online sealer,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,Operator efficiency tracking,Local Idea,Digital Ways of Working
Liquid Filling (Auto),S Sab E 3&4,OEE top 2,Optimize CIP funtions,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,Optimize current palletizing process by replacing plastic wrap to strapping band,Local Idea,Other / Analogue
Maintenance,Maintenance,Breakdown Occurence,Optimize mixing tank scale verification,Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Room 10KL tank1,shadowing_1,Pack Size Standardization for Oils,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Packaging feeding interval time optimization,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Customer Complaint,Packaging Lab,Local Idea,Other / Analogue
Dry Part (Auto),FFS 3H,changeover,Packaging line for FFS 2H and 3H,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Multi-head Filling Line,shadowing_1,Packaging technician job scope redesign,Local Idea,Other / Analogue
Warehouse,warehouse technician,shadowing_3,Pakeo digital,Local Idea,Digital Ways of Working
Warehouse,warehouse technician,shadowing_2,Pallet position availability recommendation tool,Local Idea,Advanced Analytics
Liquid Filling (Auto),Rotary Serac,shadowing_1,Palletized receipt of empty drums,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Palletizer,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 1,Parallel filling for 8h and ibc,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Multi-head Filling Line,dilo,Pi sheet auto check,Local Idea,Digital Ways of Working
Dry Part (Auto),Combi L2,shadowing_0,Pick and place combi line,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 8h,shadowing_0,Pigging system improvement,Local Idea,Advanced Production Method and Material
Maintenance,Maintenance,Breakdown Occurence,Pigging system improvement,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,MUV,MUV,Pigging system improvement,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Beverage Base Room,shadowing_0,Pigging system improvement,Local Idea,Advanced Production Method and Material
Maintenance,maintenance PM technician,shadowing_0,Place toolbox and PPE,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,IT/OT,IT/OT_System,Plant SCADA,Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse technician,shadowing_1,Plastic Bins Storage (Supply Solid Lines),Local Idea,Other / Analogue
Dry Part (Auto),Color,shadowing_0,Po loading and hmi control in filling rooms (part 1 - 2 rooms),Local Idea,Digital Management Tools & Connectivity
Dry Part (Manual),MTO,shadowing_0,"Pouch feeding, printing and counting system",Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Batching,shadowing_0,Pouring height adjustment for drum holder to pour direct to tank,Local Idea,Other / Analogue
Warehouse,warehouse technician,shadowing_0,Power app development for BB identification,Local Idea,Digital Management Tools & Connectivity
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_2,Power automate during label creation. Ensure the system is reliable so that we can eliminate the process to validate to SAP,Local Idea,Digital Ways of Working
Maintenance,maintenance technician,shadowing_0,Power automate in data entry steps for weekly cycle count,Local Idea,Digital Ways of Working
Maintenance,Dry Mix SKU Filling line,OEE top 1,Power quality stabilization (Dry Parts),Local Idea,Other / Analogue
Maintenance,ACME Filler,OEE top 2,Power quality stabilization (Liquid Filling),Local Idea,Other / Analogue
Others / Multiple Areas,Maintenance,Process,Predictive maintenance for hvac system,Local Idea,Advanced Production Method and Material
Quality Lab,quality lab_technician,shadowing_0,Prepack ingredient label recognition and system matching,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,Prepare 1 rack dedicated for citric staging --> replicate to other material,Local Idea,Digital Ways of Working
Dry Part (Manual),Filling Dry Part Manufacturing 02,OEE top 2,Prepare 1 spoon with targeted weight,Local Idea,Other / Analogue
Large Liquid MFG,KO Batching (BIG),shadowing_0,Pre-picking Ingredients and Scheduling Release Prior to Batching Process,Local Idea,Digital Ways of Working
Liquid Kitchen,Liquid Flexi Filling,shadowing_0,Pressurized filler for small dose filling,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Sprite Filling Room,shadowing_0,Pressurized pump or reserve tank position up,Local Idea,Other / Analogue
Maintenance,QSE,Root Cause Process,Preventive maintenance and calibration status dashboard for production and warehouse equipment,Local Idea,Digital Ways of Working
Dry Part (Manual),Dry Hand Filled  Kitchen,OEE top 3,Print & apply labels wip,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Kitting Station,shadowing_1,Print and apply,Local Idea,Advanced Production Method and Material
Liquid Kitchen,Liquid Flexi Filling,shadowing_0,Print and apply,Local Idea,Advanced Production Method and Material
Liquid Kitchen,Filling Liquid Part Manufacturing 02,shadowing_0,Print and apply,Local Idea,Other / Analogue
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_2,Print and apply,Local Idea,Other / Analogue
Dry Part (Manual),Manual Kitting,OEE top 1,Print and Apply for FG (Manual and Piggyback Kitting),Local Idea,Advanced Production Method and Material
Dry Part (Auto),Piggyback,OEE top 1,Print and Apply for FG (Piggyback Filling),Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 8HD,OEE top 2,Print and Apply for FG (Serac 8HD),Local Idea,Advanced Production Method and Material
Dry Part (Auto),Kitting Station,OEE top 3,Print and apply for labels to reduce first and last labels manual handling,Local Idea,Advanced Production Method and Material
Warehouse,scheduling,scheduling,Production dashboard monitoring system,Local Idea,Digital Ways of Working
Large Liquid MFG,scheduling,scheduling,Production resources - Real time visibility,Local Idea,Digital Management Tools & Connectivity
Maintenance,IT/OT,IT/OT_Process,Project Contour,Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality lab_manager,dilo,Project Flow Roll-out,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,Prometheus erp tools,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance PM technician,shadowing_0,Prometheus Implementation,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Process,Prometheus mobile,Local Idea,Digital Ways of Working
Dry Part (Auto),Kitting Station,OEE top 3,Prometheus system as better reporting and analytics for equipment breakdown,Local Idea,Advanced Analytics
Dry Part (Auto),Filling Dry Part Manufacturing 01,OEE top 1,Provide the cover to protect auger from water so no need to wrap by plastic,Local Idea,Other / Analogue
Large Liquid MFG,Manufactura Coca-Cola,dilo,Pump control by batchelor automatic system,Local Idea,Advanced Production Method and Material
Large Liquid MFG,MUV,MUV,Pump RPM Increase,Local Idea,Other / Analogue
Quality Lab,quality lab_manager,dilo,Qse kpi dashboard,Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality lab_technician,dilo,QSE Metrics & Meeting Dashboard,Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Root Cause Process,Quality issue knowlege management,Local Idea,Digital Ways of Working
Warehouse,warehouse material flow,material flow,Racks Analysis for AMB Storage,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Root Cause Process,RCA Application,Local Idea,Digital Ways of Working
Quality Lab,quality ehs_specialist,dilo,Real-time and Digital Readings of Process Water Meters,Local Idea,Digital Ways of Working
Maintenance,Tank #5,shadowing_0,Real-time cip status display board,Local Idea,Digital Ways of Working
Dry Part (Auto),Dry Mix SKU Filling line,OEE top 1,Real-Time Data Logging and Reporting Dashboard (Dry parts),Local Idea,Advanced Analytics
Quality Lab,quality ehs_specialist,dilo,Recommendation Engine for Near Miss Reporting Improvement,Local Idea,Advanced Analytics
Dry Part (Auto),Color,shadowing_0,Recommendation for filler parameters based on historical data,Local Idea,Advanced Analytics
Dry Part (Manual),Dry Manual WIP Filling Line,shadowing_0,Redesign the dumping room layout,Local Idea,Advanced Production Method and Material
Maintenance,maintenance CM technician,shadowing_0,Redignostic for applying welding pipe instead of clamping,Local Idea,Other / Analogue
Dry Part (Auto),Filling Dry Part Manufacturing 01,OEE top 2,Reduce filler speed loss while using new Auger,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Reduce micro testing time,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,IT/OT,IT/OT_System,Redundancy for Core and distribution Switch,Local Idea,Other / Analogue
Liquid Kitchen,scheduling,scheduling,Re-evaluation of Batch Sizes for Slow Movers,Local Idea,Advanced Analytics
Dry Part (Manual),Filling Dry Part Manufacturing 02,OEE top 2,"Relayout: check weigher position, conveyor installation, conveyor length",Local Idea,Digital Ways of Working
Maintenance,Maintenance,Process,Reliability and Maintenance Knowledge Training,Local Idea,Other / Analogue
Large Liquid MFG,BB Room 10KL tank1,shadowing_4,Reliability of Liquid Mixing and Filling Control Systems,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),ACME Filler,shadowing_2,Reliable digital devices for manual torque verification,Local Idea,Digital Management Tools & Connectivity
Maintenance,Maintenance,Breakdown Occurence,Reliable sensor installation for Manual line 2,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),ACME Filler,shadowing_2,"Relocation of IBC filler With automatic capper, and digital torque monitoring",Local Idea,Advanced Production Method and Material
Dry Part (Manual),Dry Manual Line 2,shadowing_0,Remnant label printer,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,Remove additional verification process,Local Idea,Digital Ways of Working
Liquid Filling (Auto),Liquid 8HD Filling Line,shadowing_0,Remove bottle cap torque verification,Local Idea,Advanced Production Method and Material
Large Liquid MFG,Liquid Processing,shadowing_1,Remove the step to transfer the material to mixing tank (lactic acid),Local Idea,Other / Analogue
Liquid Filling (Auto),Rotary Serac,OEE top 1,Replace old pallet truck with new one to increase speed and safety,Local Idea,Advanced Production Method and Material
Warehouse,warehouse material flow 1,material flow 1,Replacement from 20L drum to 1ton bison tank,Local Idea,Advanced Production Method and Material
Warehouse,warehouse technician,shadowing_3,Replicate the use case from SH to automate the pallet combining,Local Idea,Digital Ways of Working
Quality Lab,Quality Lab,Process,Retention samples labelling,Local Idea,Digital Ways of Working
Warehouse,warehouse material flow 1,material flow 1,Returnable freight cost saving for pallets,Local Idea,Other / Analogue
Large Liquid MFG,Serac 20L Filler,shadowing_0,Review preprinted label in print and apply to unleash speed,Local Idea,Other / Analogue
Warehouse,Warehouse,Process,Rfid shipping tracking,Local Idea,Advanced Production Method and Material
Maintenance,Maintenance,Process,Rfid tags for small equipment and engineering spares,Local Idea,Digital Ways of Working
Liquid Filling (Auto),Liquid 8HD Filling Line,shadowing_2,Robot depalletizer & unscrambler of 18.5l drum for liquid filling area,Local Idea,Advanced Production Method and Material
Maintenance,Maintenance,Breakdown Occurence,Robotic de stacker for liquid line jerry can,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,Quality Lab,Root Cause Process,Root cause analysis software,Local Idea,Digital Ways of Working
Dry Part (Manual),Dry Manual Line 2,OEE top 1,SAC Gripper,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Sample Manager Implementation,Lighthouse,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Process,Sampling criteria for packaging material,Local Idea,Digital Ways of Working
Maintenance,Maintenance,Process,SAP Task Force,Local Idea,Digital Management Tools & Connectivity
Maintenance,maintenance PM technician,shadowing_0,Satellite spare part management,Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality lab_technician,shadowing_0,Scan barcode to complete the sample ID instead of manually input the information,Local Idea,Digital Ways of Working
Liquid Kitchen,Liquid Flexi Filling,shadowing_0,Scheduling optimization to increase batch sizes to reduce remnant handling due to minimum batching qty,Local Idea,Advanced Analytics
Warehouse,Warehouse,Process,See opportunity to move to online by negotiating to bottler,Local Idea,Digital Ways of Working
Dry Part (Manual),DP Manual,shadowing_1,Semiautomatic filler for color wips,Local Idea,Advanced Production Method and Material
Maintenance,DP Manual,shadowing_1,Semiautomatic filler for high packsize ingredients,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 1,shadowing_0,Serac 1 replacement,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),ACME Filler,OEE top 1,Serac Filler Operational,Local Idea,Other / Analogue
Others / Multiple Areas,IT/OT,IT/OT_Process,Seracs Migration Plan,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,IT/OT,IT/OT_System,Server room control system introduction,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 1,Setup & changeover reduction,Local Idea,Other / Analogue
Dry Part (Auto),Piggyback,dilo,SG Dashboard Center (Dry Part Auto),Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,KO Batching (BIG),dilo,SG Dashboard Center (Large Liquid MFG),Local Idea,Digital Management Tools & Connectivity
Quality Lab,quality lab_manager,dilo,SG Dashboard Center (Quality Lab),Local Idea,Digital Management Tools & Connectivity
Quality Lab,Quality Lab,Root Cause Process,SG Dashboard Center (Quality Root Cause Analysis),Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,BB Room 10KL tank1,shadowing_2,Shear Powder Mixer,Local Idea,Advanced Production Method and Material
Warehouse,warehouse material flow 1,material flow 1,Shipment Fulfillment with AGV,Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Room 10KL tank1,shadowing_0,Single Barcode Scanning - Smart PTU,Local Idea,Digital Ways of Working
Liquid Kitchen,Glaceau Filling Room,shadowing_0,Single ingredient filling process improvement,Local Idea,Other / Analogue
Quality Lab,Quality Lab,Process,Single test sample for density check,Local Idea,Other / Analogue
Large Liquid MFG,BB Room 10KL tank1,shadowing_0,Smart handheld devices for barcode scanning,Local Idea,Digital Ways of Working
